fid,x,y,id,grop_id,description,x_ITM,y_ITM,elevation_1,distance_kishon,distance_id1,distance_longest_flow
1,213771.7574,729973.8502,11,Downstream,Nahalal Mouth Kishon,213772,729974,29.83294868,0,9019.64,10241.64
2,215083.1162,730526.8171,10,Downstream,Nahalal After Kfar Yehoshua Confluence,215083,730527,33.29072189,1481.33,7538.31,8760.31
3,215186.6934,730624.699,8,Middlestream,Nahalal Before Kfar Yehoshua ,215187,730625,36.43215942,1637.2421,7382.3979,8604.3979
6,217538.7019,732928.5638,5,Middlestream,Shimron Stream,217539,732929,64.28131866,5269.359,3750.281,4972.281
7,217404.7276,733717.9892,4,Middlestream,Beit Shearim Exit,217405,733718,71.58143616,6008.70879,3010.93121,4232.93121
9,218238.4799,736423.2822,1,Upstream,Before Entering Horse Reservoir,218238,736423,123.3439331,9019.64,0,1222
11,213567.2962,730084.8245,13,Downstream,Kishon After Nahalal,213567,730085,30.63319969,0,9019.64,10241.64
12,214109.645,729349.8833,12,Downstream,Kishon Before Nahalal,214110,729350,29.74269485,0,9019.64,10241.64
13,215180.3351,730744.511,9,Middlestream,Kfar Yehosua Stream,215180,730745,34.55499268,1762,7257.64,8479.64
14,217112.905,732345.796,7,Middlestream,Nahalal w/ Shimron,217113,732346,54.57616806,4449.1225,4570.5175,5792.5175
20,217505.0213,734332.397,3,Upstream,Road 75 Water Passage,217505,734332,76.84742737,6682.928,2336.712,3558.712
22,218217.9022,736315.496,2,Upstream,Parallel to Horse Reservoir,218218,736315,119.5673065,8886.801,132.839,1354.839
5,217698.0952,8610931,6,Middlestream,Shani Spring,217698,731797,60.76501846,4312,4707.64,5929.64
