"id","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"1","poll",20,0,0,0,0,0,0,0,0,"a"
"2","poll",19,0,0,0,0,0,0,0,0,"a"
"3","poll",14,0,0,0,0,0,0,0,0,"a"
"4","poll",18,0,0.003,0,0.002,0.001,0.001,0,0.001,"ab"
"5","poll",18,0,0,0,0,0,0,0,0,"a"
"7","poll",20,0,0.001,0,0,0,0,0,0,"a"
"8","poll",20,0,0.002,0,0,0,0.001,0,0,"a"
"9","poll",20,0,0.003,0.001,0.002,0.001,0.001,0,0,"b"
"10","poll",19,0,0.002,0,0.001,0.001,0.001,0,0,"ab"
"11","poll",19,0,0.007,0,0.001,0.001,0.002,0,0.001,"ab"
"12","poll",19,0,0.004,0.001,0.001,0.001,0.001,0,0,"b"
"13","poll",19,0,0.004,0.001,0,0.001,0.001,0,0,"b"
