"grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5_Downstream","poll",16,7.307,27.549,18.288,13.409,17.048,7.434,1.859,3.961,"abcd"
"dry2dry5_Middlestream","poll",19,3.896,20.983,9.733,10.674,11.832,6.104,1.4,2.942,"abc"
"dry2dry5_Upstream","poll",12,1.097,23.495,3.93,16.187,9.19,9.101,2.627,5.783,"abce"
"dry2wet5_Downstream","poll",12,8.432,51.284,15.046,10.416,18.195,12.271,3.542,7.796,"abd"
"dry2wet5_Middlestream","poll",15,6.707,49.919,11.078,7.309,14.536,11.725,3.027,6.493,"abcd"
"dry2wet5_Upstream","poll",9,2.398,12.492,6.43,4.848,6.677,3.7,1.233,2.844,"ace"
"other_Downstream","poll",36,5.61,54.034,14.148,10.571,15.14,9.331,1.555,3.157,"abc"
"other_Middlestream","poll",42,3.761,39.915,11.419,11.738,13.443,8.419,1.299,2.624,"abc"
"other_Upstream","poll",21,1.078,6.525,2.225,1.635,2.691,1.281,0.279,0.583,"e"
"wet2wet5_Downstream","poll",12,14.158,40.547,23.337,6.795,25.04,7.457,2.153,4.738,"d"
"wet2wet5_Middlestream","poll",20,5.232,39.369,15.009,12.924,18.726,9.946,2.224,4.655,"bd"
"wet2wet5_Upstream","poll",11,2.224,8.79,5.564,2.762,6.047,1.994,0.601,1.34,"ce"
