"id","emmean","se","df","conf.low","conf.high","method"
"1",141.95105,14.3658376056383,213,113.633629727307,170.268470272693,"Emmeans test"
"2",153.776842105263,14.7390383929557,213,124.723781918583,182.829902291944,"Emmeans test"
"3",173.175285714285,17.1704601033108,213,139.329494861817,207.021076566754,"Emmeans test"
"4",159.577222222222,15.1429224433056,213,129.728040381577,189.426404062867,"Emmeans test"
"5",212.910944444444,15.1429224433056,213,183.061762603799,242.760126285089,"Emmeans test"
"7",219.5692,14.3658376056383,213,191.251779727307,247.886620272692,"Emmeans test"
"8",297.370999999999,14.3658376056383,213,269.053579727307,325.688420272692,"Emmeans test"
"9",251.48035,14.3658376056383,213,223.162929727307,279.797770272693,"Emmeans test"
"10",302.214210526316,14.7390383929557,213,273.161150339636,331.267270712996,"Emmeans test"
"11",343.341052631579,14.7390383929557,213,314.287992444899,372.394112818259,"Emmeans test"
"12",388.292631578948,14.7390383929557,213,359.239571392268,417.345691765628,"Emmeans test"
"13",376.701578947368,14.7390383929557,213,347.648518760688,405.754639134049,"Emmeans test"
